,sentence,clean_token,clean_sentence
316,maple bacon fry kitchen send sweet smoky scent,bacon smoky sweet scent  ,maple bacon fry kitchen send sweet smoky scent
317,sneeze pollen cloud flower shop,sneeze pollen  ,sneeze pollen cloud flower shop
318,fresh rosemary crush palm emit piney scent,palm piney rosemary scent  ,fresh rosemary crush palm emit piney scent
319,rotten potato bottom sack release foul odor,foul odor potato rotten  ,rotten potato bottom sack release foul odor
320,bookstore carry scent ink paper dust,dust ink paper scent  ,bookstore carry scent ink paper dust
321,candy store burst fruity sugary fragrance,fragrance fruity sugary  ,candy store burst fruity sugary fragrance
322,petting zoo smell hay fur animal,animal fur hay smell  ,petting zoo smell hay fur animal
323,butter melt pancake give off rich aroma,aroma butter  ,butter melt pancake give rich aroma
324,cut grass smell cling leg walk field,grass smell  ,cut grass smell cling leg walk field
325,candle shop filled spicy woody sweet scent,scent spicy sweet woody  ,candle shop filled spicy woody sweet scent
326,fresh mint leaf bruise finger strong aroma,aroma mint  ,fresh mint leaf bruise finger strong aroma
327,gravy simmer roast pan fill kitchen savory fragrance,fragrance gravy savory  ,gravy simmer roast pan fill kitchen savory fragrance
328,locker stink old shoe sweat detergent,detergent locker sweat  ,locker stink old shoe sweat detergent
329,frying fish fill house oily odor,fish odor oily  ,frying fish fill house oily odor
330,perfumed letter envelope hint lavender oil,lavender oil perfumed  ,perfumed letter envelope hint lavender oil
331,charcoal smoke rise grill scent fill patio,charcoal scent smoke  ,charcoal smoke rise grill scent fill patio
332,moldy bread emit sour pungent smell,moldy pungent smell sour  ,moldy bread emit sour pungent smell
333,vanilla bean custard warm oven fragrance,custard fragrance vanilla  ,vanilla bean custard warm oven fragrance
334,mothball scent cling winter coat,scent mothball  ,mothball scent cling winter coat
335,sizzling garlic fill kitchen sharp aroma,aroma garlic sharp  ,sizzling garlic fill kitchen sharp aroma
336,cologne trail behind man pass,scent cologne  ,cologne trail behind man pass
337,faint aroma maple bacon linger plate,bacon aroma maple  ,faint aroma maple bacon linger plate
338,laundry hung line breeze fresh scent,fresh laundry scent  ,laundry hung line breeze fresh scent
339,sharp whiff paint thinner hit nose,paint thinner whiff  ,sharp whiff paint thinner hit nose
340,oatmeal cinnamon bubble stovetop homey smell,cinnamon oatmeal smell  ,oatmeal cinnamon bubble stovetop homey smell
341,toothpaste minty foam smell clean,clean minty smell  ,toothpaste minty foam smell clean
342,open coconut release tropical creamy scent,coconut creamy scent  ,open coconut release tropical creamy scent
343,firecracker smoke linger air after celebration,smoke  ,firecracker smoke linger air celebration
344,kitchen filled scent vanilla sugar cookie,baking scent sugar vanilla  ,kitchen filled scent vanilla sugar cookie
345,sharp scent lemon cleanser hang sink,cleanser lemon scent sharp  ,sharp scent lemon cleanser hang sink
346,old barn wood hay animal musk,hay musk wood  ,old barn wood hay animal musk
347,fresh plum burst juice sweet fruity smell,fruity plum smell sweet  ,fresh plum burst juice sweet fruity smell
348,onion skin peel emit faint sharp odor,onion sharp odor  ,onion skin peel emit faint sharp odor
349,car seat hold scent sunscreen leather,leather scent sunscreen  ,car seat hold scent sunscreen leather
350,smoke chimney mix cold morning air,smoke  ,smoke chimney mix cold morning air
351,zookeeper coat smell straw dung,dung smell straw  ,zookeeper coat smell straw dung
352,fruit basket emit ripe mango banana aroma,aroma banana mango ripe  ,fruit basket emit ripe mango banana aroma
353,restaurant kitchen filled scent spice broth,broth scent spice  ,restaurant kitchen filled scent spice broth
354,old letter drawer smell age ink,ink letter smell  ,old letter drawer smell age ink
355,public bus faint odor food perfume people,food odor perfume  ,public bus faint odor food perfume people
356,mint leaf tea cup release crisp scent,crisp mint scent  ,mint leaf tea cup release crisp scent
357,refrigerator open smell garlic leftover,garlic smell  ,refrigerator open smell garlic leftover
358,saddle room filled leather hay musk,hay leather musk  ,saddle room filled leather hay musk
359,sauna air thick eucalyptus steam scent,eucalyptus scent  ,sauna air thick eucalyptus steam scent
360,baby wipe leave sweet synthetic scent hand,synthetic scent sweet  ,baby wipe leave sweet synthetic scent hand
361,egg salad sandwich emit sulfur smell,sulfur smell  ,egg salad sandwich emit sulfur smell
362,fall breeze carry scent bonfire fallen leaf,bonfire leaf scent  ,fall breeze carry scent bonfire fallen leaf
363,freshly caught fish sea brine scent,fish brine scent  ,freshly caught fish sea brine scent
364,scent incense curl air prayer room,incense scent  ,scent incense curl air prayer room
365,sharp ammonia sting nostril spill floor,ammonia sharp  ,sharp ammonia sting nostril spill floor
366,mashed potato butter release creamy aroma,aroma butter creamy  ,mashed potato butter release creamy aroma
367,beach towel hold scent salt sun lotion,lotion salt scent  ,beach towel hold scent salt sun lotion
368,grandmother quilt smell lavender cedar chest,cedar lavender quilt smell  ,grandmother quilt smell lavender cedar chest
369,fruit stand full melon peach tang,melon peach tang  ,fruit stand full melon peach tang
370,faint diesel hang truck stop,diesel  ,faint diesel hang truck stop
371,box crayon open release waxy scent,crayon scent waxy  ,box crayon open release waxy scent
372,cabbage boil pot fill house strong odor,cabbage odor  ,cabbage boil pot fill house strong odor
373,hot syrup pour waffle fill room scent,scent syrup  ,hot syrup pour waffle fill room scent
374,cool basement carry musty wet cement smell,cement musty smell  ,cool basement carry musty wet cement smell
375,lavender field hum bee breeze floral scent,floral lavender scent  ,lavender field hum bee breeze floral scent
376,sweet scent icing linger bakery door,icing scent sweet  ,sweet scent icing linger bakery door
377,chopped cilantro release earthy sharp fragrance,cilantro earthy fragrance sharp  ,chopped cilantro release earthy sharp fragrance
378,gasoline pump whiff fuel hit air,fuel gasoline whiff  ,gasoline pump whiff fuel hit air
379,sunflower field carry dry earthy scent,earthy sunflower scent  ,sunflower field carry dry earthy scent
380,honeycomb fresh cut smell rich sweet,honeycomb smell sweet  ,honeycomb fresh cut smell rich sweet
381,clothing store smell fabric dye plastic,dye fabric plastic smell  ,clothing store smell fabric dye plastic
382,muddy boot leave smell wet grass manure,grass manure smell  ,muddy boot leave smell wet grass manure
383,eggplant grill char release smoky scent,char eggplant smoky scent  ,eggplant grill char release smoky scent
384,sweet cherry pie cool window fill house aroma,aroma cherry sweet  ,sweet cherry pie cool window fill house aroma
385,creamy cheese counter carry musty odor,cheese musty odor  ,creamy cheese counter carry musty odor
386,baking bread scent waft open window,bread scent  ,baking bread scent waft open window
387,dusty old fan blow faint burning odor,burning dusty odor  ,dusty old fan blow faint burning odor
388,dill pickle jar open release sour briny smell,briny dill pickle smell sour  ,dill pickle jar open release sour briny smell
389,orange blossom tree fill garden floral scent,blossom floral orange scent  ,orange blossom tree fill garden floral scent
390,tar bubble street summer heat pungent odor,odor pungent tar  ,tar bubble street summer heat pungent odor
391,closet smell dust age perfume faint,dust perfume smell  ,closet smell dust age perfume faint
392,fresh mint toothpaste sting morning breath,mint sting toothpaste  ,fresh mint toothpaste sting morning breath
393,whiff body odor linger crowded elevator,body odor whiff  ,whiff body odor linger crowded elevator
394,sack potato rot release earthy foul smell,earthy foul potato rot smell  ,sack potato rot release earthy foul smell
395,aftershave scent trail skin towel,aftershave scent  ,aftershave scent trail skin towel
396,charred pepper give sweet smoky fragrance,charred pepper smoky sweet  ,charred pepper give sweet smoky fragrance
397,perfume bottle uncapped jasmine vanilla hit air,jasmine perfume vanilla  ,perfume bottle uncapped jasmine vanilla hit air
398,melt wax scent cinnamon orange drift house,cinnamon orange scent wax  ,melt wax scent cinnamon orange drift house
399,dog wet fur smell linger carpet,dog fur smell  ,dog wet fur smell linger carpet
400,air smell sulfur warning nearby spring,sulfur smell  ,air smell sulfur warning nearby spring
401,fresh eucalyptus branch snap clean herbal scent,eucalyptus herbal scent  ,fresh eucalyptus branch snap clean herbal scent
402,kitchen filled aroma roast garlic rosemary,aroma garlic rosemary  ,kitchen filled aroma roast garlic rosemary
403,aged cheese platter emit pungent tangy odor,cheese odor pungent tangy  ,aged cheese platter emit pungent tangy odor
404,cut lemon squirt air tart citrus scent,citrus lemon scent tart  ,cut lemon squirt air tart citrus scent
405,child blanket smell detergent mother perfume,detergent perfume smell  ,child blanket smell detergent mother perfume
406,fallen leaf damp path give musty aroma,aroma leaf musty  ,fallen leaf damp path give musty aroma
407,bacon sizzle pan rich savory scent,bacon savory scent  ,bacon sizzle pan rich savory scent
408,fridge emit faint onion fish smell,fish onion smell  ,fridge emit faint onion fish smell
409,mossy rock creekside exude earthy damp scent,earthy mossy scent  ,mossy rock creekside exude earthy damp scent
410,pastry counter smell vanilla almond sweet,almond sweet vanilla smell  ,pastry counter smell vanilla almond sweet
411,cotton candy twirl stick sugary scent drift,scent sugary  ,cotton candy twirl stick sugary scent drift
412,fresh ink pen bleed paper chemical odor,chemical ink odor  ,fresh ink pen bleed paper chemical odor
413,cup noodle steam rise salty artificial scent,artificial salty scent  ,cup noodle steam rise salty artificial scent
414,"lavender soap scent cling towel lavender, scent, soap  ",nan,lavender soap scent cling towel lavender scent soap
415,cooking pot fill curry cardamom spicy aroma,aroma cardamom curry spicy  ,cooking pot fill curry cardamom spicy aroma
416,baby blanket soft scent milk powder,milk powder scent  ,baby blanket soft scent milk powder
417,bus seat carry lingering body odor perfume,body odor perfume  ,bus seat carry lingering body odor perfume
418,sunshine warm wood deck give pine scent,pine scent wood  ,sunshine warm wood deck give pine scent
419,dry leaf burn pile acrid smoke rise,acrid leaf smoke  ,dry leaf burn pile acrid smoke rise
420,frying bacon fill room mouthwatering scent,bacon scent  ,frying bacon fill room mouthwatering scent
421,toddler hair smell sweet shampoo,scent shampoo sweet  ,toddler hair smell sweet shampoo
422,ripe tomato vine emit grassy tang,grassy tang tomato  ,ripe tomato vine emit grassy tang
423,kitchen sponge give off sour moldy odor,moldy odor sour sponge  ,kitchen sponge give sour moldy odor
424,school hallway smell pencil disinfectant sweat,disinfectant pencil smell sweat  ,school hallway smell pencil disinfectant sweat
425,carpet store filled scent glue fiber,fiber glue scent  ,carpet store filled scent glue fiber
426,potpourri bowl living room cinnamon floral aroma,aroma cinnamon floral potpourri  ,potpourri bowl living room cinnamon floral aroma
427,sun-warmed backpack emit scent plastic sunblock,plastic scent sunblock  ,sunwarmed backpack emit scent plastic sunblock
428,ginger root grated tea give sharp warm smell,ginger sharp smell warm  ,ginger root grated tea give sharp warm smell
429,new book open crisp paper ink scent,ink paper scent  ,new book open crisp paper ink scent
430,motel room faint odor bleach cigarette smoke,bleach cigarette odor smoke  ,motel room faint odor bleach cigarette smoke
431,chicken roast oven herb buttery aroma,aroma buttery chicken herb  ,chicken roast oven herb buttery aroma
432,box chalk open release dusty scent,chalk dusty scent  ,box chalk open release dusty scent
433,rotten egg smash sidewalk sulfurous stench,egg rotten stench  ,rotten egg smash sidewalk sulfurous stench
434,backyard barbecue carry smell meat charcoal,charcoal meat smell  ,backyard barbecue carry smell meat charcoal
435,closet filled scent cedar lavender pouch,cedar lavender scent  ,closet filled scent cedar lavender pouch
436,fish market thick air briny odor,briny fish odor  ,fish market thick air briny odor
437,spilled perfume coat sleeve cloying floral scent,cloying floral perfume scent  ,spilled perfume coat sleeve cloying floral scent
438,fresh rain hit asphalt smell mineral ozone,asphalt mineral ozone smell  ,fresh rain hit asphalt smell mineral ozone
439,unwashed sock emit foul sweaty odor,foul odor sweaty  ,unwashed sock emit foul sweaty odor
440,grilled pineapple sweet smoky tangy aroma,aroma pineapple smoky sweet tangy  ,grilled pineapple sweet smoky tangy aroma
441,motor oil stain garage give greasy metallic smell,greasy metallic oil smell  ,motor oil stain garage give greasy metallic smell
442,barbecue pit smoke laced cumin garlic,barbecue cumin garlic smoke  ,barbecue pit smoke laced cumin garlic
443,onion bag split pantry pungent tear smell,onion pungent smell  ,onion bag split pantry pungent tear smell
444,fresh paint dry wall acrid chemical odor,acrid chemical odor paint  ,fresh paint dry wall acrid chemical odor
445,florist shop smell rose lily fern,fern lily rose smell  ,florist shop smell rose lily fern
446,cologne dab wrist musky citrus trail,citrus cologne musky  ,cologne dab wrist musky citrus trail
447,pot simmer stew onion thyme meat aroma,aroma meat onion stew thyme  ,pot simmer stew onion thyme meat aroma
448,bed linen folded scent rose detergent,detergent rose scent  ,bed linen folded scent rose detergent
449,campfire blanket smell smoke wood ash,ash blanket smoke wood  ,campfire blanket smell smoke wood ash
450,old raincoat smell musty rubber mildew,mildew musty rubber smell,old raincoat smell musty rubber mildew
451,alleyway reek urine garbage rot,garbage rot urine  ,alleyway reek urine garbage rot
452,fresh pear sliced emit crisp fruity aroma,aroma crisp fruity pear  ,fresh pear sliced emit crisp fruity aroma
453,classroom smell dry erase marker old textbook,dry erase marker smell textbook  ,classroom smell dry erase marker old textbook
454,haystack barn warm sun release earthy scent,earthy haystack scent  ,haystack barn warm sun release earthy scent
455,candle wick burn lavender vanilla fill room,lavender vanilla  ,candle wick burn lavender vanilla fill room
456,fridge smell leftover curry onion,curry onion smell  ,fridge smell leftover curry onion
457,puppy blanket scent milk fur,fur milk scent  ,puppy blanket scent milk fur
458,bathroom cleaner sharp lemon bleach odor,bleach lemon odor sharp  ,bathroom cleaner sharp lemon bleach odor
459,freshly ground coffee fill air rich aroma,aroma coffee rich  ,freshly ground coffee fill air rich aroma
460,hair salon smell shampoo dye hairspray,dye hairspray shampoo smell  ,hair salon smell shampoo dye hairspray
461,plastic toy box carry faint chemical scent,chemical plastic scent  ,plastic toy box carry faint chemical scent
462,grape soda fizz burst sweet artificial smell,artificial grape smell sweet  ,grape soda fizz burst sweet artificial smell
463,cellar door open mold damp wood odor,damp mold odor wood  ,cellar door open mold damp wood odor
464,burn cinnamon stick release spicy warm scent,cinnamon spicy warm  ,burn cinnamon stick release spicy warm scent
465,whiff sweaty t-shirt linger after gym,shirt sweaty whiff  ,whiff sweaty tshirt linger gym
466,musty church pew smell incense polish,incense musty polish smell  ,musty church pew smell incense polish
467,potato fry oil send savory aroma kitchen,aroma oil potato savory  ,potato fry oil send savory aroma kitchen
468,salty breeze blow pier fish vendor scent,fish salty scent  ,salty breeze blow pier fish vendor scent
469,old refrigerator rubber seal mildew smell,mildew rubber smell  ,old refrigerator rubber seal mildew smell
470,cooked lentils carry earthy musky scent,earthy lentils musky scent  ,cooked lentils carry earthy musky scent
471,hotel lobby smell citrus cleaner carpet,citrus cleaner carpet smell  ,hotel lobby smell citrus cleaner carpet
472,aroma hot soup swirl steam bowl,aroma soup  ,aroma hot soup swirl steam bowl
473,rose bloom morning dew release sweet scent,rose scent sweet  ,rose bloom morning dew release sweet scent
474,cornfield rustle breeze release green grassy odor,grassy green odor  ,cornfield rustle breeze release green grassy odor
475,burn popcorn fill microwave bitter acrid smell,acrid bitter popcorn smell  ,burn popcorn fill microwave bitter acrid smell
476,woodsmoke cling scarf camp night,camp scarf woodsmoke  ,woodsmoke cling scarf camp night
477,child shoe smell grass mud detergent,detergent grass mud smell  ,child shoe smell grass mud detergent
478,fragrance lotion hint aloe cucumber,cucumber fragrance lotion  ,fragrance lotion hint aloe cucumber
479,grill pan hiss meat spice hit air,meat spice  ,grill pan hiss meat spice hit air
480,dryer sheet soften clothe leave fresh scent,clothe fresh scent  ,dryer sheet soften clothe leave fresh scent
481,restaurant vent blow garlic fry odor,fry garlic odor  ,restaurant vent blow garlic fry odor
482,pet cage smell sawdust animal waste,animal sawdust smell waste  ,pet cage smell sawdust animal waste
483,book page hold scent attic lavender dust,attic dust lavender scent  ,book page hold scent attic lavender dust
484,public pool smell chlorine rubber float,chlorine rubber smell  ,public pool smell chlorine rubber float
485,bakery scent butter sugar vanilla drift street,butter sugar vanilla  ,bakery scent butter sugar vanilla drift street
486,mint chocolate chip cone melt sticky hand,chocolate mint  ,mint chocolate chip cone melt sticky hand
487,coffee bean grind burst nutty smoky aroma,aroma coffee nutty smoky  ,coffee bean grind burst nutty smoky aroma
488,gasoline rag left garage acrid odor,acrid gasoline odor  ,gasoline rag left garage acrid odor
489,peanut butter cup give salty sweet scent,butter peanut salty scent sweet  ,peanut butter cup give salty sweet scent
490,wet towel gym bag mildew stink,mildew stink towel  ,wet towel gym bag mildew stink
491,holiday wreath pine clove cinnamon smell,cinnamon,holiday wreath pine clove cinnamon smell
492,cheese melt toast emit rich pungent aroma,aroma cheese pungent toast  ,cheese melt toast emit rich pungent aroma
493,wood cabin smell smoke pine moss,pine smoke moss  ,wood cabin smell smoke pine moss
494,tomato vine snap hand release sharp green scent,green sharp tomato scent  ,tomato vine snap hand release sharp green scent
495,wet leaves stuck boot smell rot forest,forest leaves rot smell  ,wet leaves stuck boot smell rot forest
496,honey drizzle biscuit bring floral sweet scent,floral honey scent sweet  ,honey drizzle biscuit bring floral sweet scent
497,soap bubble burst leave faint artificial perfume,artificial perfume soap  ,soap bubble burst leave faint artificial perfume
498,tobacco leaf roll cigar give earthy musky smell,earthy musky tobacco smell  ,tobacco leaf roll cigar give earthy musky smell
499,simmer broth carry garlic lemongrass aroma,aroma broth garlic lemongrass  ,simmer broth carry garlic lemongrass aroma
500,newspaper ink smudge finger leave chemical odor,chemical ink odor  ,newspaper ink smudge finger leave chemical odor
501,cinnamon roll warm tray coat kitchen scent,cinnamon kitchen scent  ,cinnamon roll warm tray coat kitchen scent
502,flower bouquet lily rose freesia waft perfume,freesia lily perfume rose  ,flower bouquet lily rose freesia waft perfume
503,old wool coat smell mothball closet,mothball smell wool  ,old wool coat smell mothball closet
504,street vendor roast peanut scent drift alley,peanut roast scent  ,street vendor roast peanut scent drift alley
505,uncooked rice sack emit faint earthy smell,earthy rice smell  ,uncooked rice sack emit faint earthy smell
506,garlic crush paste give off strong aroma,aroma garlic strong  ,garlic crush paste give strong aroma
507,closet smell sweat perfume damp cloth,cloth damp perfume sweat  ,closet smell sweat perfume damp cloth
508,scent shampoo trail air after shower,shampoo scent  ,scent shampoo trail air shower
509,zoo enclosure carry animal musk grass,animal grass musk  ,zoo enclosure carry animal musk grass
510,apple pie oven fill house cinnamon sugar scent,apple cinnamon scent sugar  ,apple pie oven fill house cinnamon sugar scent
511,plastic rain poncho smell vinyl synthetic,plastic synthetic vinyl  ,plastic rain poncho smell vinyl synthetic
512,fish tank filter emit faint algae odor,algae odor  ,fish tank filter emit faint algae odor
513,old trunk open dust mildew smell,mildew dust smell  ,old trunk open dust mildew smell
514,lemon zest mix batter tart citrus aroma,aroma citrus lemon tart  ,lemon zest mix batter tart citrus aroma
515,frying tofu emit nutty oily scent,nutty oily scent tofu  ,frying tofu emit nutty oily scent
516,gravel road hot sun give off mineral scent,gravel mineral scent  ,gravel road hot sun give mineral scent
517,hotdog stand steam ketchup onion drift scent,hotdog ketchup onion scent  ,hotdog stand steam ketchup onion drift scent
518,perfumed scarf catch whiff rose jasmine,jasmine perfume rose whiff  ,perfumed scarf catch whiff rose jasmine
519,camping tent hold smoke damp earth smell,damp earth smoke smell  ,camping tent hold smoke damp earth smell
520,walnut crack shell release woody nutty aroma,aroma nutty walnut woody  ,walnut crack shell release woody nutty aroma
521,hairbrush carry lingering scent shampoo oil,oil scent shampoo  ,hairbrush carry lingering scent shampoo oil
522,fresh basil chop give herbal peppery smell,basil herbal peppery smell  ,fresh basil chop give herbal peppery smell
523,green tea steam release grassy floral aroma,aroma floral grassy tea  ,green tea steam release grassy floral aroma
524,fridge whiff stale meat onion linger,meat onion stale whiff  ,fridge whiff stale meat onion linger
525,manhole steam rise city sulfur metallic odor,metallic odor sulfur  ,manhole steam rise city sulfur metallic odor
526,freshly peeled orange spray citrus zest,orange citrus zest  ,freshly peeled orange spray citrus zest
527,autumn leaf pile burn sharp smoke smell,burn leaf sharp smoke  ,autumn leaf pile burn sharp smoke smell
528,baby lotion rub skin sweet powdery scent,powdery lotion sweet scent  ,baby lotion rub skin sweet powdery scent
529,wood chip mulch warm sun give spicy earthy aroma,aroma earthy spicy wood  ,wood chip mulch warm sun give spicy earthy aroma
530,skunk cross road leave pungent foul stench,foul pungent skunk stench  ,skunk cross road leave pungent foul stench
531,candy cane unwrap release minty sharp scent,minty sharp scent  ,candy cane unwrap release minty sharp scent
532,fried chicken box carry grease spice odor,chicken grease odor spice  ,fried chicken box carry grease spice odor
533,kitchen counter smell vinegar baking soda,baking soda smell vinegar  ,kitchen counter smell vinegar baking soda
534,ocean breeze carry salt seaweed fish scent,fish salt seaweed scent  ,ocean breeze carry salt seaweed fish scent
535,old suitcase lined velvet hold scent travel mildew,mildew scent velvet  ,old suitcase lined velvet hold scent travel mildew
536,incense stick burn coil emit sweet smoky fragrance,fragrance incense smoky sweet  ,incense stick burn coil emit sweet smoky fragrance
537,baking cookie fill room vanilla chocolate smell,chocolate cookie smell vanilla  ,baking cookie fill room vanilla chocolate smell
538,fresh snow fall pine forest clean cold scent,clean cold pine scent  ,fresh snow fall pine forest clean cold scent
539,stale popcorn linger empty theater seat,popcorn stale  ,stale popcorn linger empty theater seat
