,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,spellchecked_text,clean_sentence,clean_token
265,265,616,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,27,Galopin stated that he knew women whose natural odor of musk ( and less frequently of ambergris ) was sufficiently strong to impart to a bath in less than an hour a perfume due entirely to the exhalations of the musky body ; it must be added that Galopin was an enthusiast in this matter .,natural sufficiently strong of musk of ambergris odor,Olfactive,Quality,56,natural sufficiently strong of musk of ambergris odor,state know woman natural odor musk frequently sufficiently strong impart bath hour perfume entirely exhalation musky body add gallop enthusiast matter,natural sufficiently strong musk ambergris odor
231,231,527,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,7,"In Panax coloni , and Sideritis , there is the same Dead-Nettle Smell ; and in Galeopsis both Smells are perceivable .",Dead-Nettle perceivable Panax coloni Sideritis Galeopsis Smell Smells,Olfactive,Quality,22,Dead-Nettle perceivable panay colony siderites Galeopsis Smell Smells,colony siderite dead nettle smell galeopsis smell perceivable,dead nettle perceivable colony siderite galeopsis smell smell
354,354,818,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,94,"Speculations have naturally arisen as to the immediate origin and composition of the volatile matter which causes the stench ; and as the blood is easily impregnated with volatile stuff , it is readily concluded that it comes from the blood .",the volatile matter the blood stench impregnated,Olfactive,Smell\_Source,42,the volatile matter the blood stench impregnated,speculation naturally arise immediate origin composition volatile matter cause stench blood easily impregnate volatile stuff readily conclude come blood,volatile matter blood stench impregnate
127,127,270,008E Anon 1779 A short history of drugs.txt_distribution.txt,79,OLIBANUM .,OLIBANUM,Olfactive,Smell\_Source,2,OLIBANUM,,
124,124,264,008E Anon 1779 A short history of drugs.txt_distribution.txt,75,"Is a concrete gummy rosinous Juice , of various Colours and Sizes , the Produce of Persia , of a fine aromatic Smell , and bitter aromatic Taste ; the best that has been brought home for ten Years past was in solid lumps , from the Size of a Nutmeg to that of a Pigeon ' s Egg , of a palish yellow Colour , and when broke appeared in the Inside of a whitish mealy Substance ; though where it breaks of a deep Orange-colour , and of a firmer Texture , and shining , it is much more preferable .",fine aromatic Smell,Olfactive,Quality,103,fine aromatic Smell,concrete gummy resinous juice color size produce persia fine aromatic smell bitter aromatic taste good bring home year past solid lump size nutmeg pigeon egg palish yellow color break appear inside whitish mealy substance break deep orange colour firm texture shine preferable,fine aromatic smell
8,8,16,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,43,"The sweet root we are alwayes to carry about us , is the root of the flower of Jesse : the savoury wood we are to smell unto , is the wood of the Crosse , that is , the tree of life in the midst of our Paradise .",the wood of the Crosse smell,Olfactive,Smell\_Source,50,the wood of the Crosse smell,sweet root carry root flower savory wood smell unto wood crosse tree life midst paradise,wood crosse smell
331,331,773,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,49,"The bacterides may , however , be a cause of those kinds in wliich the gangrenous cavity has no contact with the external air and there is no fetor , inasmuch as they are abundantly present in the blood in carbuncular gangrene , and which sometimes affects the lungs .",the gangrenous cavity fetor,Olfactive,Smell\_Source,50,the gangrenous cavity fetor,battery cause kind gangrenous cavity contact external air fetor inasmuch abundantly present blood carbuncular gangrene affect lung,gangrenous cavity fetor
577,578,1318,080E Duncan Mcdonald 1800 New town cook__214_distribution_HOUS.txt,14,"Prawns and Shrimps , if they are hard and stiff , of a pleasant scent , and their tails turned strongly inward , are new ; but if they are limber , their colour faded , of a faint smell , and feel slimy , they are stale .",pleasant faint Prawns Shrimps scent smell,Olfactive,Quality,49,pleasant faint Prawns Shrimps scent smell,prawn shrimp hard stiff pleasant scent tail turn strongly inward new limber color fade faint smell feel slimy stale,pleasant faint prawn shrimp scent smell
575,576,1313,079E William Black 1835 A practical treatise on brewing__72_distribution_HOUS.txt,8,"The majority , perhaps , are not the best judges ; indeed I have seen men so devoid of both taste and smell , that it made very little difference , whether putrid or fresh food were presented to them .",putrid or fresh food smell,Olfactive,Smell\_Source,41,putrid or fresh food smell,majority good judge see man devoid taste smell little difference putrid fresh food present,putrid fresh food smell
477,477,1084,061E Hugh Plat 1602 Delightes for Ladies__22_distribution_PER.txt,12,"STampe the hearb , put the same into a large glasse , leauing two parts emptie ( some commend the iuice of the hearbe onely ) nip or else lute the glasse very wel , digest it in balneo . 15 . or 16 . daies , and you shall finde the same very red , diuide the watrish part , and that which remaineth is the bloud or essence of the hearb . 23 .",of the hearb essence,Olfactive,Smell\_Source,76,of the hear essence,stamp hear large glass leave part empty commend juice hearse nip lute glass digest ban die find red divide waterish remain blood essence hear,hear essence
71,71,161,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,5,And there sticks horrible to my memory the fumous and steamy stench of parboiled cabbage that filled the restaurant-car of the train for Belfast—yes !,fumous steamy of parboiled cabbage stench,Olfactive,Quality,25,famous steamy of parboiled cabbage stench,stick horrible memory famous steamy stench parboil cabbage fill restaurant car train,famous steamy parboil cabbage stench
236,236,542,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,9,"Many Turpentine Balsams are of an Aromatick Smell , as Balsam de Tolu , Balsam Mechae , Balsam Peruvian , Benjamin , Storax ; and many Herbs , as Ladanum segetum , and Botrys , which have a Fragrant Terebinthinate Smell ; and so has Juniper , Cedar , and Sassafras ; besides Oyl of Turpentine will easily extract these Fragrant Oyls from Vegetables , and is frequently mixt with them by Sophistications ; whence I may argue , that they differ only as Turpentine is mixt with a latent Acid ; and as the other are more pure from Acid ; and therefore more Aethereal or Odoriferous : The Roots of Valerian smell like Turpentine , and the Flowers like Jessamy a little dryed .",like Turpentine like Jessamy Oyl of Turpentine Aromatick Fragrant Terebinthinate Many Turpentine Balsams Balsam de Tolu Balsam Mechae Balsam Peruvian Benjamin Storax many Herbs Ladanum segetum Botrys Juniper Cedar Sassafras Oyls Turpentine The Roots of Valerian the Flowers Smell Smell Fragrant Odoriferous smell,Olfactive,Evoked\_Odorant,126,like Turpentine like essay oil of Turpentine aromatic Fragrant terebinthine Many Turpentine Balsams Balsam de Tolu Balsam michael Balsam Peruvian Benjamin Storax many Herbs Ladanum septum boys Juniper Cedar Sassafras owls Turpentine The Roots of Valerian the Flowers Smell Smell Fragrant Odoriferous smell,turpentine balsam aromatic smell peruvian storax herb boy fragrant terebinthine smell juniper cedar sassafra oil turpentine easily extract fragrant owl vegetable frequently mix sophistication argue differ turpentine mix latent acid pure acid ethereal odoriferous root valerian smell turpentine flower essay little dry,turpentine essay oil turpentine aromatic fragrant terebinthine turpentine storax herb sassafra owl turpentine root flower smell smell fragrant odoriferous smell
472,472,1067,060E Eugene Rimmel 1865 The Book of Perfumes__964_distribution_PER.txt,2,"To perfumers it is a most valuable assistant , possessing in the highest degree a fresh floral fragrance , which renders it highly useful in compounds .",fresh floral it fragrance,Olfactive,Quality,27,fresh floral it fragrance,perfumer valuable assistant possess high degree fresh floral fragrance render highly useful compound,fresh floral fragrance
389,389,874,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,90,The oil distilled in Britain from the full-grown unripe green fruit of Juniperus communis .,the full-grown unripe green fruit of Juniperus communis,Olfactive,Smell\_Source,15,the full-grown unripe green fruit of juniper's communist,oil distil grow unripe green fruit juniper communist,grow unripe green fruit juniper communist
75,75,169,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,56,"Even in France , France the enlightened , the sensitive , the refined , primitive odours pervade the country , as our Army knows very well .",primitive odours,Olfactive,Quality,27,primitive odors,enlighten sensitive refined primitive odor pervade country army know,primitive odor
398,398,889,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,15,"In the Nymphalidae , or great group of butterflies with rudimentary forelegs , we find some of the common cosmopolitan Dana ' inse have dactylate hollow processes at the abdominal extremity , which are furnished with hairs , and on protrusion emit a disagreeable odour ; and sexual pouches , possibly in connection , exist on the first median nervure of the hind wing in a few species ; both being seen in the tawny Danais , that extends its range to Southern Europe .",disagreeable hairs protrusion odour,Olfactive,Quality,85,disagreeable hairs protrusion odor,nymphalid great group butterfly rudimentary foreleg find common rinse acetylate hollow process abdominal extremity furnish hair protrusion emit disagreeable odor sexual pouch possibly connection exist median nerve hind wing specie see tawny extend range,disagreeable hair protrusion odor
308,308,719,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,102,"This fact is no ground , however , for the conclusions , that there is nothing special in the odour of fetid bronchitis or its causes , and that we must abandon that term as perplexing , unscientific , and unphilosophical , for the more correct phrase 	_	_	_	
102-49	16963-16973	bronchitis	_	_	_	
102-50	16974-16978	with	_	_	_	
102-51	16979-16984	fetid	Smell\_Word[130]|Quality[131]	*|*	102-51[131_130]|102-52[0_130]	
102-52	16985-16998	expectoration	Smell\_Source	_	_	
102-53	16998-16999	.	_	_	_	
102-54	16999-17000	",of fetid bronchitis odour,Olfactive,Smell\_Source,82,of fetid bronchitis odor,fact ground conclusion special odor fetid bronchitis cause abandon term perplexing unscientific philosophical correct phrase bronchitis fetid expectoration,fetid bronchitis odor
15,15,31,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,116,"The drainage of these two dwellings runs from the back to the front , through an open wooden trough under the floor of the lower rooms , and discharges itself by a sort of pigeon-hole in the wall into the street ; the neighbours and passengers complain of the stench generated by the drainage stagnating on the pavement and in the gutter .",the drainage stagnating on the pavement and in the gutter stench,Olfactive,Smell\_Source,63,the drainage stagnating on the pavement and in the gutter stench,drainage dwelling run open wooden trough floor low room discharge sort pigeonhole wall street neighbor passenger complain stench generate drainage stagnate pavement gutter,drainage stagnate pavement gutter stench
591,592,1355,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,3,"These organisms likewise may interfere with the preservation of food , by changing its consistency , its flavor or odor , or even by producing definite poisonous decomposition products termed ptomaines .",its odor,Olfactive,Smell\_Source,32,its odor,organism likewise interfere preservation food change consistency flavor odor produce definite poisonous decomposition product term ptomaine,odor
44,44,101,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,45,"A slight effluvium of sulphurous gases was given off , but it did not last long nor extend itself beyond the building .",slight of sulphurous gases effluvium,Olfactive,Quality,23,slight of sulphurous gases effluvium,slight effluvium sulphurous gas give long extend building,slight sulphurous gas effluvium
46,46,107,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,66,"During the hot weather , this heap exhaled a smell most offensive to the inmates of the neighbouring houses .",most offensive this heap smell,Olfactive,Quality,20,most offensive this heap smell,hot weather heap exhale smell offensive inmate neighboring house,offensive heap smell
554,554,1264,073E Samuel Lee 1673 Ecclesia Gemens__31_distribution_REL.txt,3,All the Persumes of Arabia can ' t hide or choak her stink,her Persumes stink,Olfactive,Smell\_Source,13,her perfumes stink,perfume hide cloak stink,perfume stink
139,139,294,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,31,"Any one may observe this , when very young infants are about to suck ; for at those early periods of life , the sensation affects the organ of smell , much more powerfully , than after the repeated habits of smelling has inured it to odours of common strength : and in our adult years , the stronger smells , though they are at the same time agreeable to us , as of volatile spirits , continue to produce an increased secretion of tears .",of common strength the stronger at the same time agreeable the sensation smell smelling odours smells they,Olfactive,Quality,86,of common strength the stronger at the same time agreeable the sensation smell smelling odors smells they,observe young infant suck early period life sensation affect organ smell powerfully repeat habit smell inure odor common strength adult year strong smell time agreeable volatile spirit continue produce increase secretion tear,common strength strong time agreeable sensation smell smell odor smell
339,339,788,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,7,"Since the structural disease is constitutional , it is fair to conclude that the predisposing causes of the peculiar fetid excretion are constitutional , and are linked etiologically with the fibroid change of tissue .",peculiar excretion fetid,Olfactive,Quality,35,peculiar excretion fetid,structural disease constitutional fair conclude predisposing cause peculiar fetid excretion constitutional link etiologically fibroid change tissue,peculiar excretion fetid
150,150,319,011E James Manning 1604 A NEW BOOKE intituled I am for you all Complexions__28_MED.txt,15,"Secondly , for that the heat doth resist the coldnes and moisture of the braine , the which are hinderers of smelling .",smelling,Olfactive,Smell\_Word,23,smelling,secondly heat doth resist coldness moisture brain hinderer smell,smell
325,325,759,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,33,"I suspect , however , that these cases were examples of pyogenic cavities , or dilated bronchi , and not gangrene ; for it is probable these pyogenic membranes give forth the same purulent stuff as the bronchial mucous membrane in cases of fetid bronchitis .",bronchitis fetid,Olfactive,Smell\_Source,46,bronchitis fetid,suspect case example myogenic cavity dilate bronchi gangrene probable myogenic membrane purulent stuff bronchial mucous membrane case fetid bronchitis,bronchitis fetid
52,52,121,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,89,"The only stench perceived by me on the 27th July , was a strong odour of sugar scum issuing from some of the arches .",strong of sugar scum stench odour,Olfactive,Quality,25,strong of sugar scum stench odor,stench perceive strong odor sugar scum issue arch,strong sugar scum stench odor
382,382,863,019E C E A Armand 1891 Pocket Pharmocopaeia__486_MED.txt,58,Croton Oil .,Croton Oil,Olfactive,Smell\_Source,3,Croton Oil,croton oil,croton oil
476,476,1080,061E Hugh Plat 1602 Delightes for Ladies__22_distribution_PER.txt,1,"VPon the top of your glasse bodie , straine a haire cloth , and vpon that lay good store of Roseleaues , either drie , or halfe drie , and so your water will ascend verie good both in smell and in colour .",water verie good Roseleaues smell,Olfactive,Odour\_Carrier,44,water verge good Roseleaues smell,glass body strain hair cloth lie good store roseleaue die half die water ascend verge good smell color,water verge good roseleaue smell
557,558,1272,076E Henry Dodwell 1711 Incense 2__41_distribution_REL.txt,11,"Such as proceeds not from the Bag , bat from the Heart which is the Produaf not offinking Cattle , but perfumed Manners ; Ihich is not offered with bloody Hands , but ptre understanding ; Which is not killed that it may be deflroyed , but as Isaac was , is Sacrificed that it may live .",Manners perfumed,Olfactive,Smell\_Source,58,Manners perfumed,proceed bag bat heart produce offend cattle perfumed manner offer bloody hand pure understanding kill destroy sacrifice live,manner perfume
307,307,717,018E Thomas Laycock 1865 Notes on Fetid Bronchitis__285_distribution.txt,101,"Dr Gamgee has , however , demonstrated , what was already plain enough to all acquainted with the facts , that we can get stinks from any pulmonary excretion whatever , if we subject them to the same chemical torments of distillation , acidification , neutralization , redistillation , and the like .",from any pulmonary excretion stinks,Olfactive,Smell\_Source,53,from any pulmonary excretion stinks,demonstrate plain acquaint fact stink pulmonary excretion subject chemical torment distillation acidification neutralization redistillation like,pulmonary excretion stink
121,121,257,008E Anon 1779 A short history of drugs.txt_distribution.txt,50,"Chuse as above , for if you meet with it mixed with Dirt , Sticks , Bits of Cane , or other Rubbish , it will reduce the Value ; the more Aromatic it smells the better : that which is fine , has Tears in it , like other East India Gums .",like other East India Gums it smells,Olfactive,Evoked\_Odorant,54,like other East India Gums it smells,cause meet mixed dirt stick bit cane rubbish reduce value aromatic smell well fine tear gum,gum smell
407,407,911,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,27,"Bristling scent pencils , however , are most characteristic of the moths , and these usually distinguish the males , although , being commonly retained in their pouches , their presence is little suspected until they have been pricked out with a needle-point ; but in the twilight Sphinges , especially quick of nerve , they are sometimes found present in both sexes , and sharp fear , as we touch or grasp the ilower-hoverer reposing in diurnal lethargy , will cause their momentary expansion .",pencils scent,Olfactive,Smell\_Source,86,pencils scent,bristle scent pencil characteristic moth usually distinguish male commonly retain pouch presence little suspect prick needlepoint twilight sphinx especially quick nerve find present sex sharp fear touch grasp ilower hoverer reposing diurnal lethargy cause momentary expansion,pencil scent
